code,yahoo,name_en,name_zh,market_cap_100m_hkd,board_lot,category,sub_category,price,open,high,low,volume,turnover_proxy,ma5,ma10,dev5,dev10,gain1,gain3,gain5,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,base_date
0092,0092.HK,CHAMPION TECH,冠军科技集团,2.1,"12,000",Equity,Equity Securities (Main Board),0.191,0.191,0.191,0.191,192020,0.04,0.197,0.198,-3.14,-3.68,0.0,-6.37,0.0,0.26,0.57,13.64,0.26,0.57,-27.92,-66.37,-98.6,27.92,66.37,False,False,False,False,False,False,False,False,False,2026-08-28
0095,0095.HK,LVGEM CHINA,绿景中国地产,12.09,"2,000",Equity,Equity Securities (Main Board),0.19,0.19,0.196,0.19,784000,0.15,0.196,0.2,-2.86,-5.0,-3.55,-4.52,-7.77,0.32,1.82,3.84,0.32,1.82,-38.75,-89.23,-94.9,40.62,89.56,False,False,False,False,False,False,False,False,False,2026-08-28
0097,0097.HK,HENDERSON INV,恒基发展,4.27,"1,000",Equity,Equity Securities (Main Board),0.14,0.148,0.148,0.139,129000,0.02,0.142,0.144,-1.13,-2.91,-2.1,-1.41,-4.11,0.21,0.37,0.71,0.21,0.37,-29.52,-60.0,-79.15,33.33,62.16,False,False,False,False,False,False,False,False,False,2026-08-28
0098,0098.HK,XINGFA ALUM,兴发铝业,23.35,"1,000",Equity,Equity Securities (Main Board),5.55,5.61,5.61,5.515,12000,0.07,5.908,6.23,-6.06,-10.92,-0.89,-9.54,-13.15,8.08,8.88,13.88,8.08,8.88,-30.57,-36.82,-59.58,31.31,37.5,False,False,False,False,False,False,False,False,False,2026-08-28
0099,0099.HK,WONG'S INT'L,王氏国际,5.5,"1,000",Equity,Equity Securities (Main Board),1.15,1.06,1.15,1.05,77000,0.09,1.023,1.062,12.41,8.34,25.0,8.49,4.55,1.56,1.88,3.59,1.56,1.88,-26.28,-38.83,-67.97,26.28,38.83,False,False,False,True,False,False,False,False,False,2026-08-28
0100,0100.HK,MINIMAX-W,MINIMAX-W,805.47,20,Equity,Equity Securities (Main Board),300.4,317.0,329.6,297.2,11182815,3359.32,305.96,313.24,-1.82,-4.1,-4.51,0.27,-13.48,1330.0,1330.0,1330.0,1330.0,1330.0,-75.22,-75.22,-75.22,77.41,77.41,False,False,False,False,False,False,False,False,False,2026-08-28
0101,0101.HK,HANG LUNG PPT,恒隆地产,376.96,"1,000",Equity,Equity Securities (Main Board),7.245,7.22,7.29,7.17,4396548,31.85,7.276,7.245,-0.43,0.01,-0.14,-0.55,-1.36,10.3,11.68,22.6,10.3,11.68,-29.22,-37.59,-67.74,29.66,37.97,False,False,False,False,False,False,False,False,False,2026-08-28
0103,0103.HK,SHOUGANG CENT,首佳科技,9.85,"1,000",Equity,Equity Securities (Main Board),1.9,1.75,1.9,1.75,17000,0.03,1.816,1.831,4.63,3.77,1.06,6.74,4.4,3.2,4.3,4.3,3.2,4.3,-40.63,-55.81,-55.81,40.63,55.81,True,False,False,True,False,False,False,False,False,2026-08-28
0104,0104.HK,ASIA COMM HOLD,ASIA COMM HOLD,1.91,"5,000",Equity,Equity Securities (Main Board),0.255,0.26,0.26,0.248,5030000,1.28,0.255,0.252,0.0,0.99,-1.92,0.0,2.0,0.26,0.34,0.93,0.26,0.34,-1.89,-23.53,-72.04,3.77,25.0,False,False,False,False,False,False,False,True,False,2026-08-28
0107,0107.HK,SICHUAN EXPRESS,四川成渝高速公路,42.84,"2,000",Equity,Equity Securities (Main Board),4.785,4.675,4.82,4.67,1968000,9.42,4.674,4.633,2.37,3.27,2.46,3.24,3.68,6.1,6.1,6.1,6.1,6.1,-20.98,-20.98,-20.98,21.56,21.56,False,False,False,False,False,False,False,False,False,2026-08-28
